"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
121,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Kamimaecho","Rokko","4",55000000,"","90",,"Semi-rectangular Shaped","5.5","140","2014","W","House","East","City Road",8.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
122,"Residential Land(Land and Building)","Commercial Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Kuraishidoori","Ojikoen","6",240000000,"","890",,"Irregular Shaped","35.0","880","1978","RC","Housing Complex","Northwest","City Road",6.0,"Commercial District",80,400,"2nd quarter 2014",""
123,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Kotokucho","Rokkomichi","6",51000000,"","75",,"Rectangular Shaped","5.5","110","2013","W","House","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
124,"Residential Land(Land Only)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Sakuragaokacho","Rokko","13",16000000,"","70",230000,"Semi-rectangular Shaped","5.0","","","","","West","City Road",2.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
125,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Sakuragaokacho","Rokko","11",16000000,"2LDK","60",,"","","","1997","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
126,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Sakuraguchicho","Rokkomichi","4",20000000,"Open Floor","65",,"","","","1990","RC","Shop","","",,"Near Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
127,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Shinohara","Rokko","23",7300000,"","185",,"Semi-rectangular Shaped","17.6","135","1993","W","House","East","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014",""
128,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Shinoharaobanoyamacho","Rokko","16",38000000,"","115",,"Semi-rectangular Shaped","15.0","110","2014","W","House","Northwest","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
129,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Shinoharaobanoyamacho","Rokko","16",37000000,"","120",,"Semi-trapezoidal Shaped","15.0","100","2013","W","House","South","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
130,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Shinoharaobanoyamacho","Rokko","14",21000000,"3LDK","75",,"","","","1985","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
131,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Shinoharaobanoyamacho","Rokko","13",25000000,"4LDK","80",,"","","","1985","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
