"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
109,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Narayamaminamishimmachikamicho","Akita","23",22000000,"","145",,"Rectangular Shaped","10.3","100","2014","W","House","Northeast","City Road",11.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
110,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Niida","Ugoushijima","9",7500000,"","185",,"Semi-trapezoidal Shaped","18.0","105","1997","W","House","Northeast","City Road",8.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
111,"Agricultural Land","","05201","Akita Prefecture","Akita City","Niida","","",450000,"","2800",,"","","","","","","","",,"",,,"2nd quarter 2014",""
112,"Agricultural Land","","05201","Akita Prefecture","Akita City","Niida","","",80000,"","220",,"","","","","","","","",,"",,,"2nd quarter 2014",""
113,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Niidashinden","Ugoushijima","24",5500000,"","165",33000,"Trapezoidal Shaped","10.5","","","","","Northwest","City Road",6.2,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
114,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Niidashinden","Ugoushijima","24",6000000,"","160",37000,"Semi-rectangular Shaped","11.9","","","","","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
115,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Niidafukushima","Ugoushijima","18",4200000,"","140",,"Rectangular Shaped","8.7","75","1985","W","House","North","City Road",5.8,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
116,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Niidahoncho","Ugoushijima","30-60minutes",18000000,"","160",,"Rectangular Shaped","8.4","80","2014","W","House","Southeast","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
117,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Hamada","Araya (Akita)","21",6000000,"","500",,"Rectangular Shaped","15.7","185","1972","W","House","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014","Dealings including private road"
118,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Barajima","Ugoushijima","24",14000000,"","165",,"Rectangular Shaped","21.0","85","2004","W","House","South","City Road",16.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014","Dealings including private road"
119,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Barajima","Ugoushijima","29",2500000,"","220",11000,"Semi-square Shaped","","","","","","Southeast","Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
120,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Higashidoori","Akita","19",4900000,"","200",24000,"&quot;Flag-shaped&quot; etc.","","","","","","East","City Road",16.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
