"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
86,"Residential Land(Land Only)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Narazu","Bizen-ichinomiya","20",5100000,"","50",90000,"Irregular Shaped","23.0","","","","","South","National Highway",14.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
87,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishikarakawa","Bizen-ichinomiya","4",7700000,"","170",,"&quot;Flag-shaped&quot; etc.","","80","1975","W","House","North","National Highway",10.0,"Near Commercial District",80,200,"2nd quarter 2014",""
88,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishikarakawa","Bizen-ichinomiya","11",8000000,"","150",53000,"Semi-rectangular Shaped","14.0","","","","","Northwest","City Road",6.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
89,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishizaki","Bizenmikado","12",33000000,"","310",110000,"Semi-rectangular Shaped","11.0","","","","","South","City Road",7.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
90,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishinagase","Kitanagase","14",41000000,"","420",,"Semi-rectangular Shaped","25.0","","","","","East","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
91,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishinagase","Kitanagase","14",70000000,"","850",,"Semi-square Shaped","29.0","640","1985","S","Housing Complex","East","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",50,200,"2nd quarter 2014",""
92,"Agricultural Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishinoyamacho","","",7600000,"","2500",,"","","","","","","","",,"",,,"2nd quarter 2014",""
93,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishifurumatsu","Omoto","11",35000000,"","270",130000,"Semi-rectangular Shaped","18.0","","","","","South","City Road",6.0,"Category 2 Residential District",80,200,"2nd quarter 2014",""
94,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishifurumatsu","Omoto","8",9300000,"3DK","55",,"","","","1990","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
95,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Nishifurumatsu","Omoto","8",9000000,"4LDK","75",,"","","","1990","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
