"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
69,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Haricho","Haibara","2H-",17000000,"","420",,"Irregular Shaped","13.0","","2000","S","Warehouse","West","City Road",5.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
70,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Higashitomigaoka","Gakuenmae (Nara)","30-60minutes",15000000,"","130",,"Semi-shaped","6.2","75","1987","W","House","Northwest","Road",9.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
71,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Higashitomigaoka","Gakkennaratomigaoka","19",28000000,"","250",,"Semi-rectangular Shaped","13.5","115","1988","LS","House","Northwest","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
72,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Hyakurakuen","Gakuenmae (Nara)","14",17000000,"3LDK","75",,"","","","2002","RC","House","","",,"Category 1 Exclusive Low Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
73,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Hiramatsu","Amagatsuji","13",23000000,"","155",,"Semi-rectangular Shaped","7.8","95","2014","W","House","North","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
74,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Fujinokidai","Gakuenmae (Nara)","30-60minutes",18000000,"","175",,"Semi-rectangular Shaped","14.7","105","1979","W","House","North","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
75,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Fujinokidai","Gakuenmae (Nara)","24",9300000,"","80",,"Semi-rectangular Shaped","6.9","85","1995","W","House","South","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
76,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Furuichicho","Kyobate","12",14000000,"","1300",11000,"Irregular Shaped","25.0","","","","","Northwest","Private Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
77,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Horencho","Kintetsunara","21",23000000,"","210",,"Semi-trapezoidal Shaped","14.0","100","2012","W","House","South","City Road",6.0,"Urbanization Control Area",,,"2nd quarter 2014",""
78,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Horencho","Kintetsunara","23",24000000,"","240",,"Rectangular Shaped","16.5","100","2013","W","House","South","City Road",6.0,"Urbanization Control Area",,,"2nd quarter 2014",""
79,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Horencho","Kintetsunara","17",30000000,"","290",100000,"Semi-trapezoidal Shaped","11.0","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
80,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Horencho","Kintetsunara","23",23000000,"","240",,"Square Shaped","","100","2013","W","House","South","City Road",,"Urbanization Control Area",,,"2nd quarter 2014",""
81,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Horencho","Kintetsunara","26",25000000,"","260",,"Semi-rectangular Shaped","12.6","100","2013","W","House","South","Private Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
82,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Mitsugarasu","Tomio","13",7300000,"","60",,"Semi-trapezoidal Shaped","8.2","90","1985","W","House","Northeast","City Road",4.2,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
